"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"73640a76-1119-4fb1-bff9-aa46b7d68789",0,"5.97","59.75",0,"15.00","104.82"
"af2dd64a-a149-4c74-98ec-d729a5193880",0,"8.97","80.48",0,"11.98","84.03"
"6761bad4-0440-4a36-8a42-3ffe8bb94bd8",0,"9.88","77.25",0,"12.88","88.30"
"93e338e7-20df-4f2b-bb67-5a26dc537aca",0,"0.02","0.02",0,"0.02","0.02"
"654e2f00-f052-4b7f-a036-76396d46ab46",0,"5.97","59.73",0,"14.98","104.78"
"78104331-9242-4bce-8971-2e2b8cafc5b9",0,"5.97","59.73",0,"14.98","104.80"
"9aa7bb1e-6fc3-428f-8675-0b5b8441b316",0,"9.00","80.77",0,"11.93","83.72"
"70c75f98-9fce-442b-b712-ae443bddf2e0",0,"5.97","41.85",0,"14.98","122.68"
"81fe8f25-2e90-4a1c-9c14-bb40328a7b39",0,"5.97","59.73",0,"14.98","104.78"
"f2137b08-fe17-4ac6-b567-10af21f1ef04",0,"9.00","86.75",0,"11.93","77.73"
